,title,url,thumbnail_url,channel,description
0,"Billie Eilish: Same Interview, The Fifth Year | Vanity Fair",https://www.youtube.com/watch?v=_wNsZEqpKUA,https://i.ytimg.com/vi/_wNsZEqpKUA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDg1rSssxGPzAGOPsWe4ZOijff2tA,Vanity Fair,"""I'm so much more open to stuff now."" On the verge of 100 million followers, Billie Eilish is ready to step back into the world as the most comfortable version of herself. Filled with new life..."
1,Redneck vs Fancy Whiskey Glass,https://www.youtube.com/watch?v=2jfbXZiE6Lc,https://i.ytimg.com/vi/2jfbXZiE6Lc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA7SJIX7Y0LFpd5Ya6QC2EwRGkMZw,Drew Talbert,I’m just shocked Brad was able to sell him in that $20 hooch Co-write w/ Andrea Kelley
2,I Made a Mistake...or Two,https://www.youtube.com/watch?v=fVO5VeUbNrA,https://i.ytimg.com/vi/fVO5VeUbNrA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLADVizYsbcFWpBzMlJRUF33OxCfDQ,Jay & Sharon,"I fell from a ladder and then this happened. It was crazy. I am still alive but I have a message I want to share with all the fellas. Ladies, feel free to share this with all your guy friends...."
3,how tiktok saved my life #shorts,https://www.youtube.com/watch?v=5gjRbewqs2g,,Alex Griswold,
4,Is Meat Really that Bad?,https://www.youtube.com/watch?v=F1Hq8eVOMHs,,Kurzgesagt – In a Nutshell,"The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/kurzgesagtinanutshell11211 Sources & further reading: https://sites.google.com/view/sources-clim..."
5,School shooter in Michigan kills 3 students,https://www.youtube.com/watch?v=gfN4P1cCveY,,CNBC Television,"WEYI reporter Stephanie Parkinson joins Shep Smith to report on another school shooting, this one in Michigan, where a 15-year-old killed three students and wounded 8 more people, including a teacher."
6,'Tis The Season To Be Jolly (Clash of Clans Season Challenges),https://www.youtube.com/watch?v=x8UdkJ4ktOU,,Clash of Clans,"It's beginning to look a lot like Clashmas... 🎄🎅🎁 December Season Challenges are here, Chiefs! Enjoy some great perks and rewards, and unlock the Jolly Warden with this month's Gold..."
7,Things Get Strange With The UnderTaker | Cold as Balls | Laugh Out Loud Network,https://www.youtube.com/watch?v=GQXVQmcGQUY,,LOL Network,"#PoweredByOldSpice Thought by many as one of the greatest #WWE wrestlers of all time; the #Undertaker gets into the ice-cold tub to chat with #KevinHart about his legacy of wrestling, plus..."
8,And Just Like That... A New Chapter of Sex and the City | Official Trailer | HBO Max,https://www.youtube.com/watch?v=Cy8Zz7Q56dY,,HBO Max,"If you have good friends in your corner, anything is possible. After all the years, and all the changes, a new chapter of Sex and the City begins. And Just Like That… arrives Dec. 9 only..."
9,People Pleasers at a Restaurant,https://www.youtube.com/watch?v=n4XojTb6pfs,,Drew Talbert,I apologize for existing - please throw me out Co-write w/ Andrea Kelley #peoplepleasing #bistrohuddy #serverlife #restaurantlife #bartenderlife #funnyshorts #comedyshorts #socialanxiety...
